,"Région","Dpt","FINNES","Raison.sociale","Complement.distribution","Adresse","Lieudit.BP","Code.postal","Libelle.routage","Tel","nom correspondant","mail","logiciel","editeur","RPU (OUI/NON)","Remarque"
14,"AUVERGNE","Allier",30000061,"CENTRE HOSPITALIER MOULINS YZEURE",,"10 AVENUE GAL DE GAULLE","BP 609",3006,"MOULINS CEDEX","04 70 35 77 77 ou 11 ",,"k.caille-douet@ch-moulins-yzeure.fr
g.hernandez@ch-moulins-yzeure.fr","MAIL ATTENTE REPONSE",,"OUI",
15,"AUVERGNE","Allier",30000079,"CENTRE HOSPITALIER DE MONTLUCON",,"18 AVENUE DU 8 MAI 1945",,3109,"MONTLUCON CEDEX","04 70 02 30 30 ou 27","","sec.sau@ch-montlucon.fr","ORBIS",,"OUI","- (ORBIS)"
16,"AUVERGNE","Allier",30000087,"CH JACQUES LACARIN VICHY",,"BOULEVARD DENIERE","BP 2757",3201,"VICHY CEDEX","04 70 97 33 33 ou 07",,"christine.tomanmuller@ch-vichy.fr didier.storme@ch-vichy.fr","ORBIS",,"OUI","partiellement"
90,"AUVERGNE","Cantal",150000032,"CENTRE HOSPITALIER DE SAINT FLOUR",,"AVENUE DOCTEUR MALLET","BP 49",15102,"ST FLOUR CEDEX","04 71 60 64 64 ou 63 80",,"cdegoul@ch-stflour.fraloyer@ch-stflour.fr","MAIL ATTENTE REPONSE",,"OUI",
91,"AUVERGNE","Cantal",150000040,"CENTRE HOSPITALIER HENRI MONDOR",,"50 AVENUE DE LA REPUBLIQUE","BP 229",15002,"AURILLAC CEDEX","04 71 46 56 56 ou 82 41","","sau@ch-aurillac.fr","matrix","Sillage urgence","OUI","Sillage urgence à partir du 16 juin"
92,"AUVERGNE","Cantal",150000164,"CENTRE HOSPITALIER DE MAURIAC",,"AVENUE FERNAND TALLANDIER",,15200,"MAURIAC","04 71 68 00 40 ou 67 48 33","","secretariat.urgences@ch-mauriac.fr","MAIL ATTENTE REPONSE",,"OUI",
278,"AUVERGNE","Haute Loire",430000117,"CENTRE HOSPITALIER LE PUY - EMILE ROUX",,"12 BOULEVARD DU DR CHANTEMESSE","BP 20352",43012,"LE PUY EN VELAY CEDEX","04 71 04 32 10 OU 38 85 ","","gsoliveau@yahoo.fr","ORBIS",,"NON",
279,"AUVERGNE","Haute Loire",430000190,"CTRE HOSPITALIER DE SECTEUR DE BRIOUDE",,"2 RUE MICHEL DE L HOSPITAL",,43100,"BRIOUDE","04 71 50 99 99 ou 92 03","","urgences@ch-brioude.fr","MAIL ATTENTE REPONSE",,"OUI",
280,"AUVERGNE","Loire Atlantique",440000016,"CENTRE HOSPITALIER DE SAINT- NAZAIRE","CITE SANITAIRE GEORGES CHARPAK","11 BOULEVARD GEORGES CHARPAK","BP 414",44606,"ST NAZAIRE CEDEX","02 72 27 80 00 ou 70","","secretariat.urgence@ch-saintnaziare.fr","MAIL ATTENTE REPONSE",,,
281,"AUVERGNE","Loire Atlantique",440000271,"CHU DE NANTES :SITE HOTEL-DIEU- HME",,"1 PLACE ALEXIS RICORDEAU",,44093,"NANTES CEDEX 1","02 40 08 73 23 ou 20",,"gilles.potel@chu-nantes.fr 
bernadette.loué@chu-nantes.fr","MAIL ATTENTE REPONSE",,,
