"";"X";"Région";"Dpt";"FINNES";"Raison.sociale";"Complement.distribution";"Adresse";"Lieudit.BP";"Code.postal";"Libelle.routage";"Tel";"nom.correspondant";"mail";"logiciel";"editeur";"RPU..OUI.NON.";"Remarque"
"123";121;"BRETAGNE";"Côte d'Armor";"220000012";"CENTRE HOSPITALIER YVES LE FOLL";"CH DE ST BRIEUC";"10 RUE MARCEL PROUST";"BP 2367";"22023";"ST BRIEUC CEDEX 1";"02 96 01 71 23  ou 72 82";"";"marie-rose.rothe@ch-sybrieuc.fr";"RESURGENCES";"";"OUI";""
"124";122;"BRETAGNE";"Côte d'Armor";"220000095";"CTRE HOSPITALIER DINAN";"CH R PLEVEN";"56 RUE CHATEAUBRIAND";"BP 56";"22101";"DINAN CEDEX";"02 96 85 72 85 ou 72 00";"";"secretariat.urgences@ch-dinan.fr
samir.jabre@ch-dinan.fr";"NON INFORMATISE";"";"OUI";""
"125";123;"BRETAGNE";"Côte d'Armor";"220000343";"CENTRE HOSPITALIER GUINGAMP";"";"17 RUE DE L'ARMOR";"";"22200";"GUINGAMP";"02 96 44 56 56 OU 34";"";"nadia.georges@ch-guingamp.fr";NA;"";"NON";""
"126";124;"BRETAGNE";"Côte d'Armor";"220000368";"CENTRE HOSPITALIER LANNION";"";"KERGOMAR";"BP 248";"22303";"LANNION CEDEX";"02 96 05 71 11 ";"";"secretariat-urgences@ch-lannion.fr
cgelee@ch-lannion.fr";"RESURGENCES";"";"OUI";""
"127";125;"BRETAGNE";"Côte d'Armor";"220000541";"CENTRE HOSPITALIER PAIMPOL";"";"CHEMIN DE MALABRY";"BP 91";"22501";"PAIMPOL CEDEX";"02 96 55 60 00 poste 6550";"";"urgences.secretaire@ch-paimpol.fr
catherine.ferrand@ch-paimpol.fr";"ORBIS";"";"OUI";""
"128";154;"BRETAGNE";"Finistère";"290000025";"CHIC QUIMPER";"";"14 AVENUE YVES THEPOT";"";"29107";"QUIMPER CEDEX";"02 98 52 60 60 ou 6235";"";"g.mehu@ch-cornouaille.fr";"MAIL ATTENTE REPONSE";"";"OUI";""
"129";155;"BRETAGNE";"Finistère";"290000033";"C.H. DES PAYS DE MORLAIX";"";"15 RUE KERSAINT GILLY";"BP 97237";"29672";"MORLAIX CEDEX";"02 98 62 61 60 ";"";"aprincipe@ch-morlaix.fr";"MEDIS URG";"";"OUI";""
"130";156;"BRETAGNE";"Finistère";"290000058";"CHRU BREST SITE HOPITAL MORVAN";"";"5 AVENUE FOCH";"BP 824";"29609";"BREST CEDEX 2";"02 98 22 33 33 ou 22 34 38";"pédiatrie";"";NA;"";"OUI";""
"131";157;"BRETAGNE";"Finistère";"290000066";"CENTRE HOSPITALIER CONCARNEAU";"LE PORZOU";"61 ROUTE DE TREGUNC";"";"29900";"CONCARNEAU";"02 98 50 30 30 ou 52 68 15 ";"";"";NA;"";"OUI";""
"132";158;"BRETAGNE";"Finistère";"290000173";"CH FERDINAND GRALL LANDERNEAU";"";"1 ROUTE DE PENCRAN";"LD LAVALLOT";"29207";"LANDERNEAU CEDEX";"02 98 21 80 00 ou 80";"";"j.treguer@hopital-landerneau.fr";"MAIL ATTENTE REPONSE";"";"OUI";""
