"";"X";"Région";"Dpt";"FINNES";"Raison.sociale";"Complement.distribution";"Adresse";"Lieudit.BP";"Code.postal";"Libelle.routage";"Tel";"nom.correspondant";"mail";"logiciel";"editeur";"RPU..OUI.NON.";"Remarque"
"352";49;"LANGUEDOC ROUSSILLON";"Aude";"110000023";"CH CARCASSONNE";"";"1060 CHEMIN DE LA MADELEINE";"CS 40001";"11010";"CARCASSONNE CEDEX 9";"04 68 24 24 24 ou 27 80";"";"secr.urg-samu@ch-carcasonne.fr
herve.mourou@ch-carcasonne.fr";"URQUAL";"";"OUI";""
"353";50;"LANGUEDOC ROUSSILLON";"Aude";"110000049";"CH JEAN PIERRE CASSABEL";"";"19 AVENUE MGR DE LANGLE";"BP 1200";"11492";"CASTELNAUDARY CEDEX";"04 68 94 56 56 ou 57 04";"";"alexis.lazim@ch-castelnaudary.fr";"MAIL ATTENTE REPONSE";"";"";""
"354";51;"LANGUEDOC ROUSSILLON";"Aude";"110000056";"CH NARBONNE HOTEL DIEU";"";"BOULEVARD DOCTEUR LACROIX";"BP 824";"11108";"NARBONNE CEDEX";"04 68 42 60 00 ou 65 75";"";"urgences@ch-narbonne.fr";"MAIL ATTENTE REPONSE";"";"";""
"355";52;"LANGUEDOC ROUSSILLON";"Aude";"110780228";"POLYCLINIQUE LE LANGUEDOC";"";"AVENUE DE LA COTE DES ROSES";"BP 815";"11108";"NARBONNE CEDEX";"04 68 65 33 33 ";"";"";NA;"";"";""
"356";53;"LANGUEDOC ROUSSILLON";"Aude";"110780236";"CH LIMOUX QUILLAN SITE DE QUILLAN";"";"RUE DU DOCTEUR ROUEYLOU";"";"11500";"QUILLAN";"04 68 20 85 00 ";"";"";NA;"";"";""
"357";54;"LANGUEDOC ROUSSILLON";"Aude";"110780483";"POLYCLINIQUE MONTREAL";"";"ROUTE DE BRAM";"";"11890";"CARCASSONNE CEDEX 9";"04 68 11 53 53 ";"";"";NA;"";"";""
"358";175;"LANGUEDOC ROUSSILLON";"Gard";"300000023";"CENTRE HOSPITALIER ALES CEVENNES";"";"811 AVENUE DOCTEUR JEAN GOUBERT";"BP 20139";"30103";"ALES CEDEX";"04 66 78 31 11 ou 32 03";"";"urgences@ch-ales.fr
amhilaire@ch-ales.fr";"MAIL ATTENTE REPONSE";"";"";""
"359";176;"LANGUEDOC ROUSSILLON";"Gard";"300000031";"CENTRE HOSPITALIER LOUIS PASTEUR";"";"AVENUE ALPHONSE DAUDET";"BP 75163";"30205";"BAGNOLS SUR CEZE CEDEX";"04 66 79 10 11 ou 42";"";"secret-rea-urg@ch-bagnolssurceze.fr
scauvy@ch-bagnolssurceze.fr";"MAIL ATTENTE REPONSE";"";"";""
"360";177;"LANGUEDOC ROUSSILLON";"Gard";"300780137";"NOUVELLE CLINIQUE BONNEFON";"";"45 AVENUE CARNOT";"BP 80189";"30104";"ALES CEDEX";"08 26 20 73 30 ";"";"";NA;"";"";""
"361";178;"LANGUEDOC ROUSSILLON";"Gard";"300782117";"GROUPE HOSPITALIER CAREMEAU CHU NIMES";"";"PLACE DU PROFESSEUR ROBERT DEBRE";"";"30029";"NIMES CEDEX 9";"04 66 68 68 68 ou 66 68";"";"jean-emmanuel.delacoussye@chu-nimes.fr
secretariat.samu@chu-nimes.fr";"MAIL ATTENTE REPONSE";"";"";""
