"";"X";"Région";"Dpt";"FINNES";"Raison.sociale";"Complement.distribution";"Adresse";"Lieudit.BP";"Code.postal";"Libelle.routage";"Tel";"nom.correspondant";"mail";"logiciel";"editeur";"RPU..OUI.NON.";"Remarque"
"457";358;"NORD PAS DE CALAIS";"Nord";"590000121";"CH SECLIN";"";"4 AVENUE DES MARRONNIERS";"BP 109";"59471";"SECLIN CEDEX";"03 20 62 70 00 ";"Dr SCHOL Claude";"";NA;"";"NON";""
"458";359;"NORD PAS DE CALAIS";"Nord";"590000337";"CH DUNKERQUE";"";"130 AVENUE LOUIS HERBEAUX";"BP 6367";"59140";"DUNKERQUE";"03 28 28 59 00 ou 56 11";"";"secretariat.urgences@ch-dunkerque.fr
christophe.couturier@ch-dunkerque.fr";"URQUAL";"";"OUI";""
"459";360;"NORD PAS DE CALAIS";"Nord";"590000428";"CH CAMBRAI";"";"516 AVENUE DE PARIS";"BP 389";"59407";"CAMBRAI CEDEX";"03 27 73 73 73 ";"";"sec.urgences@ch-cambrai.fr
h.guidez@ch-cambrai.fr";"HOPITAL MANAGER";"";"NON";""
"460";361;"NORD PAS DE CALAIS";"Nord";"590000436";"CH LE CATEAU";"";"28 BOULEVARD PATURLE";"";"59360";"LE CATEAU CAMBRESIS";"03 27 84 66 66 ";"Dr LUCAS Frédéric";"";"OSIRIS";"";"OUI";""
"461";362;"NORD PAS DE CALAIS";"Nord";"590000469";"CH FOURMIES";"";"RUE DE L HOPITAL";"BP 29";"59611";"FOURMIES CEDEX";"03 27 56 47 47 ou 51 57";"";"urgences@ch-fourmies.fr";"POLYMEDIS";"";"OUI";""
"462";363;"NORD PAS DE CALAIS";"Nord";"590000535";"CH SAMBRE AVESNOIS MAUBEUGE";"";"13 BOULEVARD PASTEUR";"BP 249";"59607";"MAUBEUGE CEDEX";"03 27 69 43 43 ou 44 79";"";"p_alarcon@ch-sa.com";"SILLAGE";"";"OUI";""
"463";364;"NORD PAS DE CALAIS";"Nord";"590000592";"CH DENAIN";"";"25 RUE J JAURES";"BP 225";"59723";"DENAIN CEDEX";"03 27 24 30 00 ou 31 80";"";"";"DXCARE";"";"OUI";""
"464";365;"NORD PAS DE CALAIS";"Nord";"590000618";"CH VALENCIENNES";"";"114 AVENUE DESANDROUIN";"BP 479";"59322";"VALENCIENNES CEDEX";"03 27 14 33 33 ou 35 67";"";"sec-urgences@ch-valenciennes.fr
goze-c@ch-valenciennes.fr";"MILLENIUM";"";"OUI";""
"465";366;"NORD PAS DE CALAIS";"Nord";"590000758";"CH ARMENTIERES";"";"112 RUE SADI CARNOT";"BP 189";"59421";"ARMENTIERES CEDEX";"03 20 48 33 33 ou 54";"";"secretariatsmur@ch-armentieres.fr
o.loriau@ch-armentières.fr";"URQUAL";"";"OUI";""
"466";367;"NORD PAS DE CALAIS";"Nord";"590000774";"CH HAZEBROUCK";"";"1 RUE DE L'HOPITAL";"BP 209";"59524";"HAZEBROUCK CEDEX";"03 28 42 66 00 ou 50";"";"secretariat_urgences@ch-hazebrouck.fr";"DXCARE";"";"OUI";""
"467";368;"NORD PAS DE CALAIS";"Nord";"590001004";"CENTRE HOSPITALIER DE DOUAI";"";"ROUTE DE CAMBRAI";"BP 10740 CEDEX";"59507";"DOUAI CEDEX";"03 27 99 61 61 ou 95 75 00";"";"bruno.lacrampe@ch-roubaix.fr";"CRISTALNET-DMU";"";"OUI";""
"468";369;"NORD PAS DE CALAIS";"Nord";"590001749";"POLYCLINIQUE DE GRANDE SYNTHE";"";"AVENUE DE LA POLYCLINIQUE";"BP 20159";"59792";"GRANDE SYNTHE CEDEX";"03 28 58 60 00 ";"";"";NA;"";"NON";""
"469";370;"NORD PAS DE CALAIS";"Nord";"590006607";"HOP JEANNE DE FLANDRE CHR LILLE";"";"2 AVENUE OSCAR LAMBRET";"";"59000";"LILLE";"03 20 44 59 62 ou 46 38";"";"samu@chru-lille.fr
patrick.goldstein@chru-lille.fr";NA;"";"";""
"470";371;"NORD PAS DE CALAIS";"Nord";"590008041";"POLYCLINIQUE VAUBAN";"";"10 AVENUE VAUBAN";"";"59300";"VALENCIENNES";"03 27 32 42 52 ou 41 00";"";"";"OSOFT";"";"OUI";""
"471";372;"NORD PAS DE CALAIS";"Nord";"590780268";"POLYCLINIQUE DU BOIS";"";"44 RUE MARX DORMOY";"BP 59";"59003";"LILLE CEDEX";"03 20 22 56 00 ";"";"";NA;"";"";""
"472";373;"NORD PAS DE CALAIS";"Nord";"590780284";"GPT HOPITAUX INSTITUT CATHOLIQUE LILLE";"";"115 RUE DU GRAND BUT";"";"59462";"LOMME CEDEX";"03 20 22 50 50 ";"";"";NA;"";"";""
"473";374;"NORD PAS DE CALAIS";"Nord";"590780383";"HOPITAL PRIVE LA LOUVIERE";"";"69 RUE DE LA LOUVIERE";"";"59042";"LILLE CEDEX";"03 20 15 70 00 ";"";"";NA;"";"";""
"474";375;"NORD PAS DE CALAIS";"Nord";"590782553";"HOPITAL PRIVE DE VILLENEUVE D'ASCQ";"";"20 AVENUE DE LA RECONNAISSANCE";"QUARTIER DU RECUEIL";"59650";"VILLENEUVE D ASCQ";"03 20 99 41 41 ";"";"";NA;"";"";""
"475";376;"NORD PAS DE CALAIS";"Nord";"590784864";"HOP CALMETTE CHR LILLE";"";"BOULEVARD DU PR LECLERCQ";"";"59037";"LILLE CEDEX";"03 20 44 59 62 ou 46 38";"";"patrick.golstein@chru-lille.fr";"RESURGENCES";"";"OUI";""
"476";377;"NORD PAS DE CALAIS";"Nord";"590787586";"HOP CARDIOLOGIQUE CHR LILLE";"";"2 AVENUE OSCAR LAMBRET";"";"59037";"LILLE CEDEX";"03 20 44 52 74 ";"";"patrick.golstein@chru-lille.fr";"RESURGENCES";"";"OUI";""
"477";378;"NORD PAS DE CALAIS";"Nord";"590796975";"HOP SALENGRO - HOPITAL B CHR LILLE";"CITE HOSPITALIERE";"2 AVENUE OSCAR LAMBRET";"";"59037";"LILLE CEDEX";"03 20 44 59 62 ";"";"patrick.golstein@chru-lille.fr";"RESURGENCES";"";"OUI";""
"478";379;"NORD PAS DE CALAIS";"Nord";"590797353";"HOPITAL SAINT VINCENT - SAINT ANTOINE";"";"51 BOULEVARD DE BELFORT";"";"59020";"LILLE CEDEX";"03 20 87 48 48";"";"";"TRACK CARE";"";"OUI";""
"479";380;"NORD PAS DE CALAIS";"Nord";"590801106";"HOPITAL VICTOR PROVO";"";"11 BOULEVARD LACORDAIRE";"BP 359";"59056";"ROUBAIX CEDEX 1";"03 20 99 31 31 ou 30 68";"";"carole.godesence@ch-roubaix.fr";"CLINICOM";"- EASILY en 2015";"OUI";""
"480";381;"NORD PAS DE CALAIS";"Nord";"590804696";"HOPITAL GUY CHATILIEZ CH TOURCOING";"";"155 RUE DU PRESIDENT COTY";"";"59208";"TOURCOING CEDEX";"03 20 69 49 49 ou 44 63";"";"hmoussouni@ch-tourcoing.fr";"URQUAL";"";"OUI";""
"481";382;"NORD PAS DE CALAIS";"Nord";"590811279";"HOP CLAUDE HURIEZ CHR LILLE";"";"1 Place de Verdun";"";"59037";"LILLE CEDEX";"03 20 44 59 62 ";"";"";NA;"";"";""
"482";383;"NORD PAS DE CALAIS";"Nord";"590816310";"CLINIQUE SAINT AME";"";"RUE CLEMENCEAU";"";"59552";"LAMBRES LEZ DOUAI";"03 27 71 17 11 ";"";"";"RESURGENCES";"";"OUI";""
"483";398;"NORD PAS DE CALAIS";"Pas de Calais";"620000034";"CH ARRAS";"";"BOULEVARD BESNIER";"BP 914";"62022";"ARRAS CEDEX";"03 21 21 10 10 ou 18 94";"";"jacqueline.devienne@ch-arras.fr";"CLINICOM";"";"OUI";""
"484";399;"NORD PAS DE CALAIS";"Pas de Calais";"620000224";"CH BETHUNE";"";"RUE DELBECQUE";"BP 809";"62408";"BETHUNE CEDEX";"03 21 64 43 96 ou 41 09";"";"adubart@ch-bethune.fr";"URQUAL";"";"NON";""
"485";400;"NORD PAS DE CALAIS";"Pas de Calais";"620000257";"CH LENS";"";"99 ROUTE DE LA BASSEE";"SP 8";"62307";"LENS CEDEX";"03 21 69 12 34 ";"Dr. PIGNON Philippe";"";"CRISTALNET-DMU";"";"OUI";""
"486";401;"NORD PAS DE CALAIS";"Pas de Calais";"620000323";"CH CALAIS";"";"1601 BOULEVARD DES JUSTES";"BP 339";"62107";"CALAIS CEDEX";"03 21 46 33 33 ou 09";"";"secretariat2urgences@ch-calais.fr
p.ourvois@ch-calais.fr";"CORA";"";"OUI";""
"487";402;"NORD PAS DE CALAIS";"Pas de Calais";"620000349";"CH REGION DE ST OMER";"";"ROUTE DE BLENDECQUES";"BP 60357 HELFAUT";"62505";"ST OMER CEDEX";"03 21 88 70 00 ou 71 02";"";"ziad.khodr@ch-stomer.fr";"CORA";"";"OUI";""
"488";403;"NORD PAS DE CALAIS";"Pas de Calais";"620000653";"CH BOULOGNE-SUR-MER";"";"RUE JACQUES MONOD";"BP 609";"62321";"BOULOGNE SUR MER CEDEX";"03 21 99 33 33 ou 30 15";"";"sec_urgences@ch-boulogne.fr
g.duncan@ch-boulogne.fr";"CLINICOM";"";"OUI";""
"489";404;"NORD PAS DE CALAIS";"Pas de Calais";"620003202";"CH ARROND DE MONTREUIL";"";"140 CHEMIN DEPARTEMENTAL";"BP 8";"62180";"RANG DU FLIERS";"03 21 89 45 45 ou 35 08";"";"jpkahn@ch-montreuil.fr";NA;"";"OUI";""
"490";405;"NORD PAS DE CALAIS";"Pas de Calais";"620003350";"POLYCLINIQUE DE RIAUMONT";"";"RUE D'ENTRE DEUX MONTS";"";"62800";"LIEVIN";"03 21 44 80 80 ";"";"";"TRACK CARE";"";"OUI";""
"491";406;"NORD PAS DE CALAIS";"Pas de Calais";"620003376";"POLYCLINIQUE MED CHIR D'HENIN-BEAUMONT";"";"ROUTE DE COURRIERES";"BP 199";"62256";"HENIN BEAUMONT CEDEX";"03 21 13 30 00 ou 33 33";"";"";"TRACK CARE";"";"OUI";""
"492";407;"NORD PAS DE CALAIS";"Pas de Calais";"620025346";"POLYCLINIQUE DE LA 'CLARENCE'";"";"RUE DU DOCTEUR LEGAY";"";"62460";"DIVION";"03 21 54 90 00 ou 90";"";"";"TRACK CARE";"";"OUI";""
"493";408;"NORD PAS DE CALAIS";"Pas de Calais";"620100735";"CLINIQUE ANNE ARTOIS";"";"100 RUE EMILE BASLY";"BP 195";"62404";"BETHUNE CEDEX";"08 26 20 01 10 ";"";"";NA;"";"";""
