,X,RÃ©gion,Dpt,FINNES,Raison.sociale,Complement.distribution,Adresse,Lieudit.BP,Code.postal,Libelle.routage,Tel,nom.correspondant,mail,logiciel,editeur,RPU..OUI.NON.,Remarque
352,49,LANGUEDOC ROUSSILLON,Aude,110000023,CH CARCASSONNE,,1060 CHEMIN DE LA MADELEINE,CS 40001,11010,CARCASSONNE CEDEX 9,04 68 24 24 24 ou 27 80,MOUROU Hervé,"secr.urg-samu@ch-carcasonne.fr
herve.mourou@ch-carcasonne.fr",URQUAL,Mc KESSON,OUI,AUTOMATIQUE
353,50,LANGUEDOC ROUSSILLON,Aude,110000049,CH JEAN PIERRE CASSABEL,,19 AVENUE MGR DE LANGLE,BP 1200,11492,CASTELNAUDARY CEDEX,04 68 94 56 56 ou 57 04,LAZIM Alexis,alexis.lazim@ch-castelnaudary.fr,OSIRIS,EVOLUCARE,OUI,AUTOMATIQUE
354,51,LANGUEDOC ROUSSILLON,Aude,110000056,CH NARBONNE HOTEL DIEU,,BOULEVARD DOCTEUR LACROIX,BP 824,11108,NARBONNE CEDEX,04 68 42 60 00 ou 65 75,MORA Michel,urgences@ch-narbonne.fr,HOPITAL MANAGER URGENCES,SOFTWAY,OUI A VENIR,AUTOMATIQUE
355,52,LANGUEDOC ROUSSILLON,Aude,110780228,POLYCLINIQUE LE LANGUEDOC,,AVENUE DE LA COTE DES ROSES,BP 815,11108,NARBONNE CEDEX,04 68 65 33 33 ,SALUZZO Sophie,ssaluzzo@polyclinique-lelanguedoc.fr,SIGESOFT,SIGEMS,OUI,AUTOMATIQUE
357,54,LANGUEDOC ROUSSILLON,Aude,110780483,POLYCLINIQUE MONTREAL,,ROUTE DE BRAM,,11890,CARCASSONNE CEDEX 9,04 68 11 53 53 ,MALARTE Alexandra,Referent.emed@polyclinique-montreal.fr,EMED,CS3i,OUI,AUTOMATIQUE
358,175,LANGUEDOC ROUSSILLON,Gard,300000023,CENTRE HOSPITALIER ALES CEVENNES,,811 AVENUE DOCTEUR JEAN GOUBERT,BP 20139,30103,ALES CEDEX,04 66 78 31 11 ou 32 03,MERABET Fouad,"dr.merabet@ch-ales.fr
amhilaire@ch-ales.fr",RESURGENCES,IMPROVE,OUI,AUTOMATIQUE
359,176,LANGUEDOC ROUSSILLON,Gard,300000031,CENTRE HOSPITALIER LOUIS PASTEUR,,AVENUE ALPHONSE DAUDET,BP 75163,30205,BAGNOLS SUR CEZE CEDEX,04 66 79 10 11 ou 42,CAUVY Sylvie,"secret-rea-urg@ch-bagnolssurceze.fr
scauvy@ch-bagnolssurceze.fr",RESURGENCES,IMPROVE,OUI,AUTOMATIQUE
360,177,LANGUEDOC ROUSSILLON,Gard,300780137,NOUVELLE CLINIQUE BONNEFON,,45 AVENUE CARNOT,BP 80189,30104,ALES CEDEX,08 26 20 73 30 ,PORTIER Chantal,cportier@clinique-bonnefon.fr,EXPERT SANTE,EXPERTIZ SANTE,OUI,AUTOMATIQUE
361,178,LANGUEDOC ROUSSILLON,Gard,300782117,GROUPE HOSPITALIER CAREMEAU CHU NIMES,,PLACE DU PROFESSEUR ROBERT DEBRE,,30029,NIMES CEDEX 9,04 66 68 68 68,DE LA COUSSAYE Jean-Emmanuel,"jean-emmanuel.delacoussye@chu-nimes.fr
secretariat.samu@chu-nimes.fr",CLINICOM,INTERSYSTEMS,OUI,AUTOMATIQUE
362,179,LANGUEDOC ROUSSILLON,Gard,300788502,POLYCLINIQUE GRAND SUD,,350 AVENUE DE SAINT ANDRE DE CODOLS,BP 55,30932,NIMES CEDEX 9,04 66 04 33 04 ,ALBARIC Franck,albaric.franck@neuf.fr,EXPERT SANTE,EXPERTIZ SANTE,OUI,AUTOMATIQUE
363,208,LANGUEDOC ROUSSILLON,Hérault,340000223,HOPITAL SAINT CLAIR HBT SETE,,BOULEVARD CAMILLE BLANC,BP 475,34207,SETE CEDEX,04 67 46 57 57 ou 75,PINEL Philippe,ppinel@ch-bassindethau.fr,DX CARE,MEDASYS,OUI A VENIR,AUTOMATIQUE
365,210,LANGUEDOC ROUSSILLON,Hérault,340015502,CLINIQUE DU MILLENAIRE,,220 BOULEVARD PENELOPE,CS 59523,34960,MONTPELLIER CEDEX 2,04 99 53 60 00 ,RIGO Carole,carole.rigo@orange.fr,W-dossier,WEDA,OUI,AUTOMATIQUE
366,211,LANGUEDOC ROUSSILLON,Hérault,340015965,POLYCLINIQUE SAINT PRIVAT,,10 RUE DE LA MARGERIDE,BP 90051,34760,BOUJAN SUR LIBRON,04 67 35 46 00 ,LANNOY Lydie,Lydie.lannoy@stprivat.f,SIGESOFT,SIGEMS,OUI,AUTOMATIQUE
368,213,LANGUEDOC ROUSSILLON,Hérault,340780147,POLYCLINIQUE DES TROIS VALLEES,,4 ROUTE DE SAINT PONS,,34600,BEDARIEUX,04 67 95 56 56 ,SIMOENS Samuel,samuel.simoens@capsante.fr,SIGESOFT,SIGEMS,OUI,AUTOMATIQUE
369,214,LANGUEDOC ROUSSILLON,Hérault,340780154,POLYCLINIQUE PASTEUR,,3 RUE PASTEUR,,34120,PEZENAS,04 67 90 41 42 ,SIMOENS Samuel,samuel.simoens@capsante.fr,SIGESOFT,SIGEMS,OUI,AUTOMATIQUE
371,216,LANGUEDOC ROUSSILLON,Hérault,340780634,CLINIQUE SAINT JEAN,,36 AVENUE BOUISSON BERTRAND,,34093,MONTPELLIER CEDEX 5,04 67 61 20 00 ou 30,SIMOENS Samuel,samuel.simoens@capsante.fr,EXPERT SANTE,EXPERTIZ SANTE,OUI,AUTOMATIQUE
372,217,LANGUEDOC ROUSSILLON,Hérault,340780642,CLINIQUE BEAU SOLEIL,,119 AVENUE DE LODEVE,,34070,MONTPELLIER,04 67 75 99 99 ou 61,CHABRAT Frédéric, f.chabrat@languedoc-mutualite.fr,LOGICIEL INTERNE,DEVELOPPEMENT INTERNE,NON,AUTOMATIQUE
373,218,LANGUEDOC ROUSSILLON,Hérault,340780667,CLINIQUE DU PARC,,50 RUE EMILE COMBES,BP 20,34171,CASTELNAU LE LEZ CEDEX,04 67 33 13 31 ou 00 33 ,NR,NR,O'SOFT,MEDIBASE,OUI,AUTOMATIQUE
374,219,LANGUEDOC ROUSSILLON,Hérault,340780683,POLYCLINIQUE SAINT ROCH,,43 RUE DU FAUBOURG SAINT JAUMES,CS 1122,34967,MONTPELLIER CEDEX 2,04 67 61 88 88 ,RIGO Carole,carole.rigo@orange.fr,W-dossier,WEDA,OUI,AUTOMATIQUE
375,220,LANGUEDOC ROUSSILLON,Hérault,340780717,CLINIQUE SAINT LOUIS,,13 PLACE JOSEPH BOUDOURESQUES,BP 103,34190,GANGES,04 67 81 68 00 ,JEANNE Régis, r.jeanne@languedoc-mutualite.fr,LOGICIEL INTERNE,DEVELOPPEMENT INTERNE,OUI,MANUEL
