"Region","Departement","FINESS","Hopital","CP","Routage","Logiciel_2014","Editeur","RPU_transmis","Nb_RPU_T1_2015","Logiciel_2015","Version_2015","Coment","Freq_remontee","DN_exhaus","DN_confor","DP_exhaus","DP_confor","MS_exhaus","MS_confor","Jours_manquants","coment2","reg.id"
"ALSACE","Bas Rhin","670000025","HOPITAL CIVIL / NOUVEL HOPITAL CIVIL","67091","STRASBOURG CEDEX","DXCARE",NA,"OUI","7759","DX CARE URGENCES","7.5 R 12 + programpme des Hus qui extrait les données","","1440","100.00","100.00","52.24","52.24","21.05","21.05","0",NA,42
"ALSACE","Bas Rhin","670000157","CENTRE HOSPITALIER DE HAGUENAU","67504","HAGUENAU CEDEX","RESURGENCE",NA,"OUI","11308","RESURGENCE","","","1440","100.00","100.00","76.00","76.00","90.22","90.22","0",NA,42
"ALSACE","Bas Rhin","670000165","CH SAINTE-CATHERINE DE SAVERNE","67703","SAVERNE CEDEX","DXCARE",NA,"OUI","7460","DX CARE ","7.5.16","","1440","100.00","100.00","9.10","9.10","88.63","88.63","0",NA,42
"ALSACE","Bas Rhin","670000272","CH INTERCOMMUNAL DE LA LAUTER","67166","WISSEMBOURG CEDEX","ATALANTE",NA,"OUI","3204","ATALANTE","7.2.1","","1440","100.00","100.00","88.48","88.48","95.63","95.63","0",NA,42
"ALSACE","Bas Rhin","670000397","CENTRE HOSPITALIER DE SELESTAT","67606","SELESTAT CEDEX","CLINICOM",NA,"OUI","7023","CLINICOM","2014.01.0006","","1440","100.00","100.00","96.14","96.14","100.00","100.00","4",NA,42
"ALSACE","Bas Rhin","670016237","CLINIQUE SAINTE ODILE","67100","STRASBOURG","DXCARE",NA,"OUI","6045","ANTARES V2 de INOVACUM","2.28.0.4","","1440","100.00","100.00","45.84","45.84","84.48","84.48","1",NA,42
"ALSACE","Bas Rhin","670780162","CLINIQUE DES DIACONESSES","67085","STRASBOURG CEDEX","ATALANTE",NA,"OUI","2929","ANTARES V2 de INOVACUM","2.28.0.4","","1440","100.00","100.00","90.51","90.51","83.99","83.99","0",NA,42
"ALSACE","Bas Rhin","670780212","CLINIQUE SAINTE-ANNE","67085","STRASBOURG CEDEX","ORBIS",NA,"OUI","3025","ORBIS","8.4.22","","1440","100.00","100.00","0.00","0.00","15.70","15.70","25",NA,42
"ALSACE","Bas Rhin","670783273","HOPITAL DE HAUTEPIERRE","67098","STRASBOURG CEDEX 2","DXCARE",NA,"OUI","19679","DX CARE URGENCES","7.5 R 12 + programpme des Hus qui extrait les données","","1440","100.00","100.00","52.24","52.24","21.05","21.05","0",NA,42
"ALSACE","Haut Rhin","680000320","CLINIQUE DIACONAT FONDERIE","68054","MULHOUSE CEDEX 1","ATALANTE",NA,"OUI","7128","ATALANTE","7.2.1.0","","1440","100.00","100.00","39.80","39.80","99.14","99.14","0",NA,42
"ALSACE","Haut Rhin","680000494","CLINIQUE DIACONAT ROOSEVELT","68200","MULHOUSE","ATALANTE",NA,"OUI","1852","ATALANTE","7.2.1.0","","1440","100.00","100.00","7.34","7.34","80.94","80.94","0",NA,42
"ALSACE","Haut Rhin","680000544","CENTRE HOSPITALIER D'ALTKIRCH","68134","ALTKIRCH CEDEX","ATALANTE",NA,"OUI","4013","ATALANTE","7.2.2","","1440","100.00","100.00","18.04","18.04","30.03","30.03","0",NA,42
"ALSACE","Haut Rhin","680000627","HOPITAL DU HASENRAIN","68051","MULHOUSE CEDEX 1","CRISTALNET-DMU",NA,"OUI",NA,"ATALANTE","7.1.1","Même FINESS que CH E. Muller","1440","100.00","100.00","18.04","18.04","30.03","30.03","1",NA,42
"ALSACE","Haut Rhin","680000684","HOPITAL LOUIS PASTEUR","68024","COLMAR CEDEX","CRISTALNET-DMU",NA,"OUI","16564","CRISTALNET-DMU","3.5.23","","1440","100.00","100.00","86.08","86.08","97.41","97.41","1",NA,42
"ALSACE","Haut Rhin","680000700","CENTRE HOSPITALIER DE GUEBWILLER","68504","GUEBWILLER CEDEX","ATALANTE",NA,"OUI","3699","ATALANTE","7.2.1","","1440","100.00","100.00","98.95","98.95","93.24","93.24","0",NA,42
"ALSACE","Haut Rhin","680001245","CENTRE MERE ENFANT 'LE PARC'","68020","COLMAR CEDEX","CRISTALNET-DMU",NA,"OUI",NA,"CRISTALNET-DMU","3.5.23","Même FINESS que Hôpital Pasteur","1440","100.00","100.00","86.08","86.08","97.41","97.41","1",NA,42
"ALSACE","Haut Rhin","680004546","HOPITAL EMILE MULLER","68051","MULHOUSE CEDEX 1","URQUAL",NA,"OUI","15383","ATALANTE","7.1.1","","1440","100.00","100.00","18.04","18.04","30.03","30.03","1",NA,42
"ALSACE","Haut Rhin","680020096","CENTRE HOSP MULHOUSE- SITE DE ST-LOUIS","68300","ST LOUIS","ATALANTE",NA,"OUI","4170","ATALANTE","7.1.1","","1440","100.00","100.00","55.40","55.40","78.97","78.97","0",NA,42
"AQUITAINE","Dordogne","240000190","PCL FRANCHEVILLE","24004","PERIGUEUX CEDEX","DOPASOINS","module Urgences (WebSanté)","OUI","2811","DOPA URGENCES",NA,"","1440","100.0","100.0","62.9","62.9","82.6","82.6","0",NA,72
"AQUITAINE","Dordogne","240000372","CH BERGERAC","24108","BERGERAC CEDEX","CROSSWAY","(McKesson)","OUI","2134","CROSSWAY",NA,"Teminal Urgences sera le futur outil","1440","100.0","100.0","0.0","0.0","1.5","1.5","63",NA,72
"AQUITAINE","Dordogne","240000489","CH PERIGUEUX","24019","PERIGUEUX CEDEX","DXCARE","(Medasys)","OUI","6828","DXUrgences",NA,"","1440","100.0","100.0","52.6","52.6","99.8","99.8","0",NA,72
"AQUITAINE","Dordogne","240000687","CH SARLAT","24206","SARLAT LA CANEDA CEDEX","SIDSU","RESURA","OUI","2931","SIDSU","2.62","DxUrgences sera le nouvel outil","1440","100.0","100.0","93.8","93.8","99.5","99.5","0",NA,72
"AQUITAINE","Gironde","330000555","CH ARCACHON","33164","LA TESTE CEDEX","SIDSU","RESURA","OUI","6686","SIDSU","2.62","Teminal Urgences ou Urqual sera l'outil suivant","1440","100.0","100.0","86.5","86.5","99.9","99.9","0",NA,72
"AQUITAINE","Gironde","330000571","CH HAUTE GIRONDE","33394","BLAYE CEDEX","CROSSWAY","(McKesson)","NON",NA,"CROSSWAY",NA,"Terminal Urgences sera le nouvel outil",NA,"","","","","","",NA,NA,72
"AQUITAINE","Gironde","330000589","CH SUD GIRONDE LANGON","33212","LANGON CEDEX","SILLAGE","SIB","OUI","5330","SILLAGE URGENCES",NA,"","1440","100.0","100.0","76.5","76.5","98.3","98.3","0",NA,72
"AQUITAINE","Gironde","330000597","CH SUD GIRONDE LA REOLE","33192","LA REOLE CEDEX","SILLAGE","SIB","OUI","1120","SILLAGE URGENCES",NA,"","1440","100.0","100.0","87.1","87.1","99.4","99.4","0",NA,72
"AQUITAINE","Gironde","330000605","CH LIBOURNE","33505","LIBOURNE CEDEX","URQUAL","(McKesson)","OUI","11865","URQUAL",NA,"","1440","100.0","100.0","0.0","0.0","99.7","99.7","0",NA,72
"AQUITAINE","Gironde","330000613","CH STE FOY LA GRANDE","33220","STE FOY LA GRANDE","URQUAL","(McKesson)","OUI","2547","URQUAL",NA,"","1440","100.0","100.0","0.0","0.0","100.0","100.0","0",NA,72
