"Période : 1er trimestre 2015 soit du 
01/01/2015 00:00 au 31/03/2015 23:59.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Région","Dpt","FINNES","Raison sociale","Code postal","Libelle routage","Logiciel 2013-2014","Editeur","RPU transmis
(OUI/NON)","Nombre de RPU transmis 1er trimestre 2015","Logiciel 2015","Version (en fonctionnement durant la période retenue) si changement de version le noter","Commentaire","Fréquence de remontées des données (en minutes)","Date de naissance",,"Diagnostic",,"Mode de sortie",,"Nombre de jours manquants","Commentaire","RPU Code postal","RPU Commune","RPU Sexe","RPU Date entrée","RPU Mode entrée","RPU Provenance","RPU Mode de transport","RPU Mode de prise en charge","RPU Motif de recours","RPU CCMU","RPU Date de sortie","RPU Destination","RPU Orientation"
,,"FINNES","Raison.sociale","Code.postal","Libelle.routage","Logiciel 2013-2014","editeur","RPU (OUI/NON/partellement)",,,,,,"Exhaustivité","Conformité","Exhaustivité","Conformité","Exhaustivité","Conformité",,,"RPU Code postal","RPU Commune","RPU Sexe","RPU Date entrée","RPU Mode entrée","RPU Provenance","RPU Mode de transport","RPU Mode de prise en charge","RPU Motif de recours","RPU CCMU","RPU Date de sortie","RPU Destination","RPU Orientation"
"BOURGOGNE","Côte d'Or",210780136,"CLINIQUE MEDICO CHIRURGICALE CHENOVE",21302,"CHENOVE CEDEX","RESURGENCES",,"OUI",2954,"RESURGENCES","v4.6UO.7",,"1440 (1x/24h)",100%,100%,99%,99%,99%,99%,0,,,,,,,,,,,,,,
"BOURGOGNE","Côte d'Or",210987558,"HOPITAL LE BOCAGE CHU DIJON",21079,"DIJON CEDEX","RESURGENCES",,"OUI",11208,"RESURGENCES","4.5zmd39",,"1440 (1x/24h)",100%,100%,100%,100%,100%,100%,0,,,,,,,,,,,,,,
"BOURGOGNE","Côte d'Or",210987657,"CH BEAUNE",21203,"BEAUNE CEDEX","CROSSWAY",,"OUI",5951,"CROSSWAY","7.1.10.r2.0",,"1440 (1x/24h)",100%,100%,28%,28%,0%,0%,0,,,,,,,,,,,,,,
"BOURGOGNE","Côte d'Or",210987665,"CH INTERCOMMUNAL CHATILLON MONTBARD",21400,"CHATILLON SUR SEINE","CDP2",,"OUI",1411,"HOPITAL MANAGER","1.1410",,"1440 (1x/24h)",100%,100%,95%,95%,100%,100%,3,"lié au changement de logiciel en janvier 2015",,,,,,,,,,,,,
"BOURGOGNE","Côte d'Or",210987673,"CH INTERCOMMUNAL CHATILLON MONTBARD",21500,"MONTBARD","CDP2",,"OUI",1233,"HOPITAL MANAGER","1.1410",,"1440 (1x/24h)",100%,100%,100%,100%,100%,100%,0,,,,,,,,,,,,,,
"BOURGOGNE","Côte d'Or",210987699,"CENTRE HOSPITALIER ROBERT MORLEVAT",21140,"SEMUR EN AUXOIS","ATALANTE",,"OUI",5263,"ATALANTE",,,"1440 (1x/24h)",100%,100%,0%,0%,0%,0%,0,,,,,,,,,,,,,,
"BOURGOGNE","Nièvre",580972669,"CH CLAMECY",58500,"CLAMECY","Manuel",,"OUI",2504,"ATALANTE",,,"1440 (1x/24h)",100%,100%,99%,98%,99%,99%,0,,,,,,,,,,,,,,
"BOURGOGNE","Nièvre",580972677,"CH COSNE-COURS-SUR-LOIRE",58200,"COSNE COURS SUR LOIRE","URQUAL",,"OUI",3358,"URQUAL","7.1.5.0 RC4",,"1440 (1x/24h)",100%,100%,0%,0%,95%,95%,0,,,,,,,,,,,,,,
