"Période : 1er trimestre 2015 soit du 
01/01/2015 00:00 au 31/03/2015 23:59.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Région","Dpt","FINESS","Raison sociale","Code postal","Libelle routage","Logiciel 2013-2014","Editeur","RPU transmis
(OUI/NON)","Nombre de RPU transmis 1er trimestre 2015","Logiciel 2015","Version (en fonctionnement durant la période retenue) si changement de version le noter","Commentaire","Fréquence de remontées des données (en minutes)","Date de naissance",,"Diagnostic",,"Mode de sortie",,"Nombre de jours manquants","Commentaire","RPU Code postal","RPU Commune","RPU Sexe","RPU Date entrée","RPU Mode entrée","RPU Provenance","RPU Mode de transport","RPU Mode de prise en charge","RPU Motif de recours","RPU CCMU","RPU Date de sortie","RPU Destination","RPU Orientation",,"RPU Date de naissance","RPU Diagnostic principal","RPU Mode de sortie"
,,"FINNES","Raison.sociale","Code.postal","Libelle.routage","Logiciel 2013-2014","editeur","RPU (OUI/NON/partellement)",,,,,,"Exhaustivité","Conformité","Exhaustivité","Conformité","Exhaustivité","Conformité",,,"RPU Code postal","RPU Commune","RPU Sexe","RPU Date entrée","RPU Mode entrée","RPU Provenance","RPU Mode de transport","RPU Mode de prise en charge","RPU Motif de recours","RPU CCMU","RPU Date de sortie","RPU Destination","RPU Orientation",,"RPU Date de naissance","RPU Diagnostic principal","RPU Mode de sortie"
"BRETAGNE","Finistère",290004324,"CHU BREST -Site Cavale Blanche","29609
29835","BREST CEDEX
CARHAIX-PLOUGUER CEDEX","URQUAL","Maincare (ex-McKesson)","OUI",20238,"URQUAL"," version 7.0.3",,"1 fois/jour","100,0%","99,98%","64,2%","64,2%","98,1%","98,1%",0,,"100,00","100,00","100,00","100,00","100,00","0,28","28,42","1,22","54,50","63,41","95,18","100,00","97,23",,"100,00","52,24","21,05"
"BRETAGNE","Finistère","290000058
","CHU BREST - Site Morvan","29609
29835","BREST CEDEX
CARHAIX-PLOUGUER CEDEX","URQUAL","Maincare (ex-McKesson)","OUI",20238,"URQUAL"," version 7.0.3",,"1 fois/jour","100,0%","100,00%","98,4%","98,4%","99,7%","99,7%",0,,"100,00","100,00","100,00","100,00","100,00","0,28","28,42","1,22","54,50","63,41","95,18","100,00","97,23",,"100,00","52,24","21,05"
"BRETAGNE","Finistère",290000256,"CHU BREST- Site Carhaix","29609
29835","BREST CEDEX
CARHAIX-PLOUGUER CEDEX","URQUAL","Maincare (ex-McKesson)","OUI",20238,"URQUAL"," version 7.0.3",,"1 fois/jour","100,0%","99,97%","72,0%","72,0%","73,9%","73,9%",0,,"100,00","100,00","100,00","100,00","100,00","0,28","28,42","1,22","54,50","63,41","95,18","100,00","97,23",,"100,00","52,24","21,05"
"BRETAGNE","Finistère",290 000 025,"CH DE QUIMPER-site Quimper",29107,"QUIMPER CEDEX
CONCARNEAU","URQUAL (Mediqual)","Maincare (ex-McKesson)","OUI",12276,"URQUAL (Mediqual)","version 7.1.6.0.2",,"1 fois/jour","100,0%","100,0%","97,0%","96,9%","98,2%","98,2%",0,,"100,00","99,81","100,00","100,00","75,50","54,04","68,19","86,72","25,57","73,81","88,04","98,07","88,34",,"100,00","76,00","90,22"
"BRETAGNE","Finistère",290 000 066,"CHL DE QUIMPER-Site de Concarneau",29900,"QUIMPER CEDEX
CONCARNEAU","URQUAL (Mediqual)","Maincare (ex-McKesson)","OUI",12276,"URQUAL (Mediqual)","version 7.1.6.0.2",,"1 fois/jour","100,0%","100,0%","99,1%","99,1%","99,6%","99,6%",0,,"100,00","99,81","100,00","100,00","75,50","54,04","68,19","86,72","25,57","73,81","88,04","98,07","88,34",,"100,00","76,00","90,22"
"BRETAGNE","Finistère",290000181,"CENTRE HOSPITALIER DE DOUARNENEZ",29100,"DOUARNENEZ","SILLAGE URGENCES","SIB (Santé Informatique de Bretagne)","OUI",2983,"SILLAGE URGENCES","version 6.1.4  le 17/03/2015
version 6.1.5 le 06/05/2015
version 6.1.5.2 le 02/06/2015",,"1 fois/jour","100,0%","100,0%","95,0%","95,0%","98,8%","98,8%",0,,"100,00","100,00","100,00","100,00","100,00","3,49","0,00","0,00","48,55","52,75","89,25","100,00","93,97",,"100,00","9,10","88,63"
"BRETAGNE","Finistère",290000728,"HOPITAL D'INSTRUCTION DES ARMEES",29240,"BREST CEDEX 09","URQUAL","Maincare (ex-McKesson)","OUI",4794,"URQUAL","V7",,"1 fois/jour","100,0%","99,8%","98,5%","98,5%","96,9%","96,9%",0,,"100,00","100,00","100,00","100,00","99,56","98,85","98,85","99,66","99,31","96,07","94,32","100,00","97,99",,"100,00","88,48","95,63"
