"Période : 1er trimestre 2015 soit du 
01/01/2015 00:00 au 31/03/2015 23:59.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Région","Dpt","FINNES","Raison sociale","Code postal","Libelle routage","Logiciel 2013-2014","Editeur","RPU transmis
(OUI/NON)","Nombre de RPU transmis 1er trimestre 2015","Logiciel 2015","Version (en fonctionnement durant la période retenue) si changement de version le noter","Commentaire","Fréquence de remontées des données (en minutes)","Date de naissance",,"Diagnostic",,"Mode de sortie",,"Nombre de jours manquants","Commentaire","RPU Code postal","RPU Commune","RPU Sexe","RPU Date entrée","RPU Mode entrée","RPU Provenance","RPU Mode de transport","RPU Mode de prise en charge","RPU Motif de recours","RPU CCMU","RPU Date de sortie","RPU Destination","RPU Destination","RPU Orientation"
,,"FINNES","Raison.sociale","Code.postal","Libelle.routage","Logiciel 2013-2014","editeur","RPU (OUI/NON/partellement)",,,,,,"Exhaustivité","Conformité","Exhaustivité","Conformité","Exhaustivité","Conformité",,,,,"RPU Sexe","RPU Date entrée","RPU Mode entrée","RPU Provenance","RPU Mode de transport","RPU Mode de prise en charge","RPU Motif de recours","RPU CCMU","RPU Date de sortie","RPU Destination","RPU Destination","RPU Orientation"
"CHAMPAGNE ARDENNES","Ardennes",80000110,"CENTRE HOSPITALIER DE SEDAN",8209,"SEDAN CEDEX","CRISTALNET-DMU",,"OUI",5146,"CRISTALNET-DMU",,,"1440 (1x/24h)","100,0%","100,0%","56,9%","56,8%","100,0%","100,0%",0,,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,8%","99,8%","100,0%","99,9%","100,0%","80,4%","27,6%","86,1%"
"CHAMPAGNE ARDENNES","Ardennes",80000219,"CENTRE HOSPITALIER DE RETHEL",8300,"RETHEL","Polymedis",,"OUI",4680,"Polymedis",,"L'activité des deux sites n'est pas distinguable dans le flux RPU.","1440 (1x/24h)","100,0%","100,0%","99,0%","99,0%","99,9%","99,9%",0,,"99,7%","99,9%","100,0%","100,0%","99,9%","99,8%","100,0%","100,0%","96,6%","99,7%","99,9%","100,0%","23,0%","100,0%"
"CHAMPAGNE ARDENNES","Ardennes",80000276,"CENTRE HOSPITALIER DE VOUZIERS",8400,"VOUZIERS","Polymedis",,"OUI",,"Polymedis",,,"1440 (1x/24h)","100,0%","100,0%","99,0%","99,0%","99,9%","99,9%",0,,"99,7%","99,9%","100,0%","100,0%","99,9%","99,8%","100,0%","100,0%","96,6%","99,7%","99,9%","100,0%","23,0%","100,0%"
"CHAMPAGNE ARDENNES","Ardennes",80000425,"HOPITAL MANCHESTER - CH CHARLEVILLE",8011,"CHARLEVILLE MEZIERES CEDEX","Urqual",,"OUI",9699,"Urqual",,"A partir de septembre 2015, deux logiciels différents (un pour la partie adultes Urqualt, un pour la partie pédiatrique des urgences Azur-easily). Le secteur pédiatrique ne transmet pas encore de RPU.","1440 (1x/24h)","100,0%","100,0%","98,8%","0,0%","95,1%","95,1%",3,"La perte de donnée est liée à un arrêt du système du logiciel?","99,6%","99,9%","100,0%","100,0%","96,9%","95,0%","86,2%","97,4%","0,0%","73,0%","99,9%","95,6%","25,4%","89,7%"
"CHAMPAGNE ARDENNES","Aube",100000090,"CENTRE HOSPITALIER DE TROYES",10003,"TROYES CEDEX","RESURGENCE",,"OUI",13078,"RESURGENCE",,,"1440 (1x/24h)","100,0%","100,0%","91,6%","86,0%","100,0%","100,0%",0,,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,7%","27,6%","1,0%","91,6%","100,0%","98,5%","30,4%","6,4%"
"CHAMPAGNE ARDENNES","Aube",100000199,"CENTRE HOSPITALIER DE ROMILLY/SEINE",10105,"ROMILLY SUR SEINE CEDEX","Polymedis",,"OUI",5370,"Polymedis",,,"1440 (1x/24h)","100,0%","100,0%","97,4%","97,4%","99,5%","99,5%",0,,"98,8%","99,5%","100,0%","100,0%","100,0%","96,9%","100,0%","100,0%","73,0%","97,8%","99,5%","100,0%","17,4%","100,0%"
"CHAMPAGNE ARDENNES","Marne",510000169,"CENTRE HOSPITALIER DE CHALONS",51005,"CHALONS EN CHAMPAGNE CEDEX","Polymedis",,"OUI",6727,"Polymedis",,,"1440 (1x/24h)","100,0%","100,0%","98,6%","97,4%","99,3%","99,3%",0,,"98,9%","99,4%","100,0%","100,0%","99,7%","99,7%","99,7%","99,7%","99,6%","98,4%","99,2%","100,0%","26,5%","99,7%"
