"Période : 1er trimestre 2015 soit du 
01/01/2015 00:00 au 31/03/2015 23:59.",,,,,,,,,,,,,,,"Nombre de RPU pour lesquels le critère DDN est rempli/Nb total de RPU transmis","Nombre de RPU pour lesquels le critère DDN est rempli au format date/Nb total de RPU transmis","Nombre de RPU (hors RPU avec PSA, fugue et réo) avec critère diagnostic rempli/Nombre total de RPU (hors RPU avec PSA, fugue et réo) transmis","Nombre de RPU (hors RPU avec PSA, fugue et réo) avec critère diagnostic conforme (=code CIM10)/Nombre total de RPU (hors RPU avec PSA, fugue et réo) transmis","Nombre de RPU pour lesquels le critère mode de sortie est rempli/Nb total de RPU transmis","Nombre de RPU pour lesquels le critère mode de sortie est rempli au format attendu (=6,7 8 ou 9)/Nb total de RPU transmis","Nombre de jours pour lesquels il n'y a pas de transmission de RPU (uniquement les données qui n'ont pas pu être remontées a posteriori, même après la fin de la période)","Préciser raisons éventuelles du nombre de jours manquants, ou tout autre commentaire nécessaire"
"Région","Dpt","FINNES","Raison sociale","Code postal","Libelle routage","Logiciel 2013-2014","Editeur","RPU transmis
(OUI/NON)","Nombre de RPU transmis 1er trimestre 2015","Logiciel 2015","Version (en fonctionnement durant la période retenue) si changement de version le noter","Commentaire","Fréquence de remontées des données (en minutes)","Précision de la f'réquence","Date de naissance",,"Diagnostic",,"Mode de sortie",,"Nombre de jours manquants","Commentaire"
,,"FINNES","Raison.sociale","Code.postal","Libelle.routage","Logiciel 2013-2014","editeur","RPU (OUI/NON/partellement)",,,,,,,"Exhaustivité (%)","Conformité (%)","Exhaustivité (%)","Conformité (%)","Exhaustivité (%)","Conformité (%)",,
"FRANCHE COMTE","Doubs",250000114,"CH BOULLOCHE MONTBELIARD",25209,"MONTBELIARD CEDEX","MILLENIUM",,"OUI",7418,"Firstnet","?","Rattaché à Belfort (fusion des deux CH en 2016)","240 min","en continue","100,0","100,0","45,0","44,7","0,00","0,00",0,
"FRANCHE COMTE","Doubs",250000700,"CHI HC SITE RIVES DU DOUBS PONTARLIER",25304,"PONTARLIER CEDEX","CROSSWAY",,"OUI",5799,"Crossway","?",,"13 min","en continue","100,0","99,9","5,0","4,9","0,03","0,03",0,
"FRANCHE COMTE","Doubs",250006954,"CHRU JEAN MINJOZ*",25030,"BESANCON CEDEX","ResUrgences",,"OUI",12205,"ResUrgences","?",,"3 min","en continue","100,0","100,0","96,3","96,3","0,15","0,15",0,"10 jours non transmis à l'InVS (mais présents dans le serveur régional) : données en cours de récupération"
"FRANCHE COMTE","Jura",390000040,"CH LONS",39016,"LONS LE SAUNIER CEDEX","FIRSTNET",,"OUI",7485,"Firstnet","?",,"240 min","en continue","100,0","100,0","85,7","85,3","0,00","0,00",0,
"FRANCHE COMTE","Jura",390000065,"CH LOUIS JAILLON SAINT CLAUDE",39206,"ST CLAUDE CEDEX","EQUALIFE 
","FIRSNET MILLENIUM fin d'année","OUI",2389,"Firstnet","?",,"240 min","en continue","100,0","100,0","31,4","31,2","0,00","0,00",0,
"FRANCHE COMTE","Jura",390000214,"CH CHAMPAGNOLE",39302,"CHAMPAGNOLE CEDEX","RESURGENCE",,"NON ",1815,"ResUrgences","?",,"35 min","en journée**","100,0","100,0","92,3","91,8","0,06","0,06",0,"6 jours non transmis à l'InVS (mais présents dans le serveur régional) : données en cours de récupération"
"FRANCHE COMTE","Jura",390000222,"CH L PASTEUR DOLE",39108,"DOLE CEDEX","MILLENIUM",,"OUI",6652,"Firstnet","?",,"240 min","en continue","100,0","100,0","56,9","56,6","0,00","0,00",0,
"FRANCHE COMTE","Jura",390005742,"ANTENNE SMUR DU CH DE LONS : CH L BERARD MOREZ",39403,"MOREZ CEDEX","POLYMEDIS",,"OUI",1605,"Equafile","?",,"47 min","en journée**","100,0","100,0","100,0","99,1","0,31","0,31",0,
"FRANCHE COMTE","Haute Saone",700000011,"CH DU VAL DE SAONE  P VITTER GRAY",70104,"GRAY CEDEX","MILLENIUM",,"OUI",2479,"Firstnet","?",,"240 min","en continue","100,0","100,0","87,7","87,3","0,04","0,04",0,
"FRANCHE COMTE","Haute Saone",700000029,"CHI HAUTE SAONE SITE VESOUL",70014,"VESOUL CEDEX","RESURGENCES",,"OUI",7977,"ResUrgences","?",,"8 min","en journée**","100,0","100,0","96,8","96,8","0,30","0,30",0,
"FRANCHE COMTE","Haute Saone",700780059,"CHI HAUTE SAONE SITE LUXEUIL",70306,"LUXEUIL LES BAINS CEDEX","RESURGENCE",,"OUI",1992,"ResUrgences","?","Rattaché à Vesoul ","21 min","en journée**","100,0","100,0","96,9","96,9","0,00","0,00",0,
"FRANCHE COMTE","Haute Saone",700780208,"CHI HAUTE SAONE SITE LURE",70204,"LURE CEDEX","RESURGENCE",,"OUI",2203,"ResUrgences","?","Rattaché à Vesoul","24 min","en journée**","100,0","100,0","97,0","97,0","0,05","0,05",0,
"FRANCHE COMTE","Terr.Belfort",900000167,"CH BELFORT",90016,"BELFORT CEDEX","MILLENIUM",,"OUI",7350,"Firstnet","?",,"240 min","en continue","100,0","100,0","63,9","63,5","0,00","0,00",0,
