"Période : 1er trimestre 2015 soit du 
01/01/2015 00:00 au 31/03/2015 23:59.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Région","Dpt","FINNES","Raison sociale","Code postal","Libelle routage","Logiciel 2013-2014","Editeur","RPU transmis
(OUI/NON)","Nombre de RPU transmis 1er trimestre 2015","Logiciel 2015","Version (en fonctionnement durant la période retenue) si changement de version le noter","Commentaire","Fréquence de remontées des données (en minutes)","Date de naissance",,"Diagnostic",,"Mode de sortie",,"Nombre de jours manquants","Commentaire","RPU Code postal","RPU Commune","RPU Sexe","RPU Date entrée","RPU Mode entrée","RPU Provenance","RPU Mode de transport","RPU Mode de prise en charge","RPU Motif de recours","RPU CCMU","RPU Date de sortie","RPU Destination","RPU Orientation"
,,"FINNES","Raison.sociale","Code.postal","Libelle.routage","Logiciel 2013-2014","editeur","RPU (OUI/NON/partellement)",,,,,,"Exhaustivité","Conformité","Exhaustivité","Conformité","Exhaustivité","Conformité",,,"RPU Code postal","RPU Commune","RPU Sexe","RPU Date entrée","RPU Mode entrée","RPU Provenance","RPU Mode de transport","RPU Mode de prise en charge","RPU Motif de recours","RPU CCMU","RPU Date de sortie","RPU Destination","RPU Orientation"
"MIDI PYRENEES","Ariège",90000175,"CH INTERCOMMUNAL DU VAL D'ARIEGE",9017,"FOIX CEDEX","CROSSWAY",,"OUI",7626,"Crossway",,,"1440 (1x/24h)","100,00","99,99","96,28","96,28","96,92","96,92",0,,,,,,,,,,,,,,
"MIDI PYRENEES","Ariège",90001629,"CH DU PAYS D'OLMES",9301,"LAVELANET CEDEX",,,"OUI",1454,"ORUv2",,"Développement ORU","1440 (1x/24h)","100,00","100,00","0,00","0,00","99,04","98,69",0,,,,,,,,,,,,,,
"MIDI PYRENEES","Ariège",90782244,"CH J IBANES DE SAINT LIZIER",9190,"ST LIZIER",,,"OUI",2542,"Clinicom",,,"1440 (1x/24h)","100,00","100,00","98,03","98,03","99,92","98,66",0,,,,,,,,,,,,,,
"MIDI PYRENEES","Aveyron",120000039,"C.H. DE RODEZ 'HOPITAL JACQUES PUEL'",12027,"RODEZ CEDEX 9","DxCare",,"OUI",7327,"DxCare",,,"1440 (1x/24h)","100,00","100,00","0,00","0,00","98,84","98,40",0,,,,,,,,,,,,,,
"MIDI PYRENEES","Aveyron",120000054,"CH VILLEFRANCHE DE ROUERGUE",12200,"VILLEFRANCHE DE ROUERGUE",,,"OUI",3354,"ORUv2",,"Développement ORU","1440 (1x/24h)","100,00","99,97","35,39","35,39","100,00","39,45",0,,,,,,,,,,,,,,
"MIDI PYRENEES","Aveyron",120000070,"CH PIERRE DELPECH DECAZEVILLE",12300,"DECAZEVILLE","CORETEXTE",,"NON",2654,"Cortexte",,,"1440 (1x/24h)","100,00","100,00","87,57","87,11","99,43","99,43",0,,,,,,,,,,,,,,
"MIDI PYRENEES","Aveyron",120004569,"CENTRE HOSPITALIER DE MILLAU",12101,"MILLAU CEDEX","Urqual",,"OUI",3754,"Urqual",,,"1440 (1x/24h)","100,00","100,00","99,65","99,63","100,00","100,00",0,,,,,,,,,,,,,,
"MIDI PYRENEES","Aveyron",120004668,"CENTRE HOSPITALIER DE SAINT AFFRIQUE",12402,"ST AFFRIQUE CEDEX","Diamm",,"OUI",1833,"Diamms",,,"1440 (1x/24h)","100,00","100,00","78,72","78,56","80,47","80,47",0,,,,,,,,,,,,,,
